CBCO_Results
Name;Country Code From;ISO Code From;Location From;Node From;Un From;Country Code To;ISO Code To;Location To;Node To;Un To;TATL;PATL;Timestamp;Critical Outage before Opt.;P N-0 before Opt.;Q N-0 before Opt.;I N-0 before Opt.;Loading N-0 before Opt.;P N-1 before Opt.;Q N-1 before Opt.;I N-1 before Opt.;Loading N-1 before Opt.;Critical Outage after Topo.-Opt.;P N-0 after Topo.-Opt.;Q N-0 after Topo.-Opt.;I N-0 after Topo.-Opt.;Loading N-0 after Topo.-Opt.;P N-1 after Topo.-Opt.;Q N-1 after Topo.-Opt.;I N-1 after Topo.-Opt.;Loading N-1 after Topo.-Opt.;Critical Outage preventive;P N-0 after preventive;Q N-0 after preventive;I N-0 after preventive;Loading N-0 after preventive;P N-1 after preventive;Q N-1 after preventive; I N-1 after preventive;Loading N-1 after preventive;Loading(TATL) N-1 after preventive;Critical Outage curative;P N-1 after curative;Q N-1 after curative; I N-1 after curative;Loading N-1 after curative;
bezeichner;ukz_so_anf;ngr_anf;bez_so_anf;bez_ss_kn_anf;un_anf;ukz_so_end;ngr_end;bez_so_end;bez_ss_kn_end;un_end;tatl;patl;nnf;asf_vor;p_n0_vor;q_n0_vor;i_n0_vor;ausl_n0_vor;p_n1_vor;q_n1_vor;i_n1_vor;ausl_n1_vor;asf_nach_topo;p_n0_nach_topo;q_n0_nach_topo;i_n0_nach_topo;ausl_n0_nach_topo;p_n1_nach_topo;q_n1_nach_topo;i_n1_nach_topo;ausl_n1_nach_topo;asf_nach;p_n0_nach;q_n0_nach;i_n0_nach;ausl_n0_nach;p_n1_nach;q_n1_nach;i_n1_nach;ausl_n1_nach;ausl_tatl_n1_nach;asf_cur;p_n1_cur;q_n1_cur;i_n1_cur;ausl_n1_cur;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;kV;;;;;kV;A;A;;;MW;MVar;A;%;MW;MVar;A;%;;MW;MVar;A;%;MW;MVar;A;%;;MW;MVar;A;%;MW;MVar;A;%;%;;MW;MVar;A;%;
string;string;string;string;string;double;string;string;string;string;double;double;double;string;string;double;double;double;double;double;double;double;double;string;double;double;double;double;double;double;double;double;string;double;double;double;double;double;double;double;double;double;string;double;double;double;double;
Trafo_HSMS;;Netzgruppe_Default;Standort_0;1;110.0;; Netzgruppe_Default; Standort_0; 1;10.0;;;1;;-12.9;0.2;67.5;16.1;0;0;0;0;;-12.9;0.2;67.5;16.1;0;0;0;0;;-12.9;0.2;67.5;16.1;0;0;0;0;0;;0;0;0;0;
Trafo_HSMS_par;;Netzgruppe_Default;Standort_0;1;110.0;; Netzgruppe_Default; Standort_0; 1;10.0;;;1;;-12.9;0.2;67.5;16.1;0;0;0;0;;-12.9;0.2;67.5;16.1;0;0;0;0;;-12.9;0.2;67.5;16.1;0;0;0;0;0;;0;0;0;0;
Trafo_HSMS_par (1);;Netzgruppe_Default;Standort_0;1;110.0;; Netzgruppe_Default; Standort_0; 1;10.0;;;1;;-12.9;0.2;67.5;16.1;0;0;0;0;;-12.9;0.2;67.5;16.1;0;0;0;0;;-12.9;0.2;67.5;16.1;0;0;0;0;0;;0;0;0;0;
Trafo_HSMS_par_par;;Netzgruppe_Default;Standort_0;1;110.0;; Netzgruppe_Default; Standort_0; 1;10.0;;;1;;-12.9;0.2;67.5;16.1;0;0;0;0;;-12.9;0.2;67.5;16.1;0;0;0;0;;-12.9;0.2;67.5;16.1;0;0;0;0;0;;0;0;0;0;
L_0R_74;;Netzgruppe_Default;Standort_0;1;10.0;; Netzgruppe_Default; Standort_242; 1;10.0;319.0;319.0;1;;-1.1;-0.1;62.1;19.5;0;0;0;0;;-1.1;-0.1;62.1;19.5;0;0;0;0;;-1.1;-0.1;62.1;19.5;0;0;0;0;0;;0;0;0;0;
L_242R_74;;Netzgruppe_Default;Standort_242;1;10.0;; Netzgruppe_Default; Standort_234; 1;10.0;319.0;319.0;1;;-0.7;-0.0;38.9;12.2;0;0;0;0;;-0.7;-0.0;38.9;12.2;0;0;0;0;;-0.7;-0.0;38.9;12.2;0;0;0;0;0;;0;0;0;0;
