Name;Fuel Type;ISO Code;Country Code;Location;Node;Un;min. P;max. P
HSNetzEinsp;;;Netzgruppe_Default;Standort_0;1;110;-;-
k0dea0_19933_solar;;;Netzgruppe_Default;Standort_0;1;10;0;2
k0dea9_13552_wea;;;Netzgruppe_Default;Standort_0;1;10;0;2
k0dea10_13555_wea;;;Netzgruppe_Default;Standort_0;1;10;0;2
k0dea11_13556_wea;;;Netzgruppe_Default;Standort_0;1;10;0;2
k0dea12_13313_wea;;;Netzgruppe_Default;Standort_0;1;10;0;2
k0dea13_13554_wea;;;Netzgruppe_Default;Standort_0;1;10;0;2
k0dea14_13551_wea;;;Netzgruppe_Default;Standort_0;1;10;0;2
k0dea15_13542_wea;;;Netzgruppe_Default;Standort_0;1;10;0;2
k0dea16_13544_wea;;;Netzgruppe_Default;Standort_0;1;10;0;2
k0dea17_13527_wea;;;Netzgruppe_Default;Standort_0;1;10;0;2
k0dea18_13541_wea;;;Netzgruppe_Default;Standort_0;1;10;0;2
k0dea1_13537_wea;;;Netzgruppe_Default;Standort_0;1;10;0;2
k0dea19_13525_wea;;;Netzgruppe_Default;Standort_0;1;10;0;2
k0dea20_13528_wea;;;Netzgruppe_Default;Standort_0;1;10;0;2
k0dea21_13543_wea;;;Netzgruppe_Default;Standort_0;1;10;0;2
k0dea22_13530_wea;;;Netzgruppe_Default;Standort_0;1;10;0;2
k0dea23_13526_wea;;;Netzgruppe_Default;Standort_0;1;10;0;2
k0dea24_13558_wea;;;Netzgruppe_Default;Standort_0;1;10;0;2
k0dea25_13552_wea;;;Netzgruppe_Default;Standort_0;1;10;0;2
k0dea26_13551_wea;;;Netzgruppe_Default;Standort_0;1;10;0;2
k0dea27_13559_wea;;;Netzgruppe_Default;Standort_0;1;10;0;2
k0dea28_13555_wea;;;Netzgruppe_Default;Standort_0;1;10;0;2
k0dea2_13553_wea;;;Netzgruppe_Default;Standort_0;1;10;0;2
k0dea29_13530_wea;;;Netzgruppe_Default;Standort_0;1;10;0;2
k0dea30_13528_wea;;;Netzgruppe_Default;Standort_0;1;10;0;2
k0dea31_13313_wea;;;Netzgruppe_Default;Standort_0;1;10;0;2
k0dea3_13529_wea;;;Netzgruppe_Default;Standort_0;1;10;0;2
k0dea4_13558_wea;;;Netzgruppe_Default;Standort_0;1;10;0;2
k0dea5_13557_wea;;;Netzgruppe_Default;Standort_0;1;10;0;2
k0dea6_13559_wea;;;Netzgruppe_Default;Standort_0;1;10;0;2
k0dea7_13550_wea;;;Netzgruppe_Default;Standort_0;1;10;0;2
k0dea8_13314_wea;;;Netzgruppe_Default;Standort_0;1;10;0;2
k10n0h9_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_10;1;0.4;0;2
k10n0h17_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_10;1;0.4;0;2
k10n0h22_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_10;1;0.4;0;2
k10n0h36_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_10;1;0.4;0;2
k10n0h52_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_10;1;0.4;0;2
k10n0h52_nsHeimSpeicherErsatzeinsp;;;Netzgruppe_Default;Standort_10;1;0.4;0;2
k10n0h54_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_10;1;0.4;0;2
k100n0h0_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_100;1;0.4;0;2
k100n0h0_nsHeimSpeicherErsatzeinsp;;;Netzgruppe_Default;Standort_100;1;0.4;0;2
k100n0h1_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_100;1;0.4;0;2
k100n0h1_nsHeimSpeicherErsatzeinsp;;;Netzgruppe_Default;Standort_100;1;0.4;0;2
k101dea0_1024301_wea;;;Netzgruppe_Default;Standort_101;1;10;0;2
k102n0h0_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_102;1;0.4;0;2
k102n0h3_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_102;1;0.4;0;2
k102n0h10_nsPVErsatzeinsp;;;Netzgruppe_Default;Standort_102;1;0.4;0;2
k102n0h10_nsHeimSpeicherErsatzeinsp;;;Netzgruppe_Default;Standort_102;1;0.4;0;2
